"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","4","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大学英语{{courseName}}"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""999""
}
-{""code"":8}]",""
"passed","Fri Jun 26 17:34:48 CST 2020","Fri Jun 26 17:34:48 CST 2020","0","","test_01","","","","test_001[1-2]",""
"passed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","4","","test_lesson","TestLesson","","","test_list_lesson[{""action"":""list_course"",""pagenum"":""0"",""pagesize"":""20""}-{""code"":2}]",""
"failed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","5","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大学&英语"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""4""
}
-{""code"":16}]",""
"failed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","5","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大学：英语"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""4""
}
-{""code"":18}]",""
"passed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","4","","test_lesson","TestLesson","","","test_list_lesson[{""action"":""list_course"",""pagenum"":""1"",""pagesize"":""1001""}-{""code"":2}]",""
"passed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","7","","test_lesson","TestLesson","","","test_list_lesson[{""action"":""list_course"",""pagenum"":""1"",""pagesize"":""500""}-{""code"":0}]",""
"passed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","15","","test_lesson","TestLesson","","","test_list_lesson[{""action"":""list_course"",""pagenum"":""1"",""pagesize"":""20""}-{""code"":0}]",""
"broken","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","0","","test_lesson","TestLesson","","","test_delete_lesson[{""action"":""delete_course"",""id"":""""}-{""code"":2}]",""
"failed","Fri Jun 26 17:34:51 CST 2020","Fri Jun 26 17:34:51 CST 2020","5","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""我大学英语大学英语大学英语大学英语大学英语"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""4""
}
-{""code"":5}]",""
"failed","Fri Jun 26 17:34:48 CST 2020","Fri Jun 26 17:34:48 CST 2020","0","","test_01","","","","test_001[3-4]",""
"failed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","4","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":"" 大学英语"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""4""
}
-{""code"":19}]",""
"failed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","5","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大学英语{{courseName}}"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""1000""
}
-{""code"":9}]",""
"broken","Fri Jun 26 17:34:55 CST 2020","Fri Jun 26 17:34:55 CST 2020","458","","test_login","TestLogin","","","test_Login[{""username"": ""auto"", ""password"": ""sdfsdfsdf""}-{""recode"": 0}]",""
"passed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","6","","test_lesson","TestLesson","","","test_list_lesson[{""action"":""list_course"",""pagenum"":""1000"",""pagesize"":""20""}-{""code"":2}]",""
"failed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","5","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大学英语{{courseName}}"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""33.3""
}
-{""code"":13}]",""
"broken","Fri Jun 26 17:34:56 CST 2020","Fri Jun 26 17:34:56 CST 2020","10","","test_login","TestLogin","","","test_Login[{""username"": null, ""password"": null}-{""recode"": -1, ""reason"": ""\u7528\u6237\u6216\u5bc6\u7801\u9519\u8bef""}]",""
